Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"aribakeywords.aribaClick(findTestObject(""Object Repository/span_Create New Contract""))",Chrome 63.0.3239.132,,2020-03-16 09:25:59,2020-03-16 09:26:06,6.939s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/a_Contract Workspace (Procurem""))",Chrome 63.0.3239.132,,2020-03-16 09:26:06,2020-03-16 09:26:14,8.848s,PASSED
"setText(findTestObject(""Object Repository/input___ihgt1d""), CW)",Chrome 63.0.3239.132,,2020-03-16 09:26:14,2020-03-16 09:26:18,3.156s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/label_Yes_w-rdo w-rdo-dsize""))",Chrome 63.0.3239.132,,2020-03-16 09:26:18,2020-03-16 09:26:25,7.649s,PASSED
"setText(findTestObject(""Object Repository/input___1ymp9c""), ""06/16/2019"")",Chrome 63.0.3239.132,,2020-03-16 09:26:25,2020-03-16 09:26:28,2.462s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/a_commodity_code""), 5, OPTIONAL))",Chrome 63.0.3239.132,,2020-03-16 09:26:28,2020-03-16 09:26:39,11.721s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/label_SignTemplate154462011136""))",Chrome 63.0.3239.132,,2020-03-16 09:26:39,2020-03-16 09:26:46,6.914s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/span_Create""))",Chrome 63.0.3239.132,,2020-03-16 09:26:46,2020-03-16 09:27:01,14.232s,PASSED
"aribakeywords.aribaClick(findTestObject(""Page_Ariba Spend Management/span_Documents_w-pml-icon""))",Chrome 63.0.3239.132,,2020-03-16 09:27:01,2020-03-16 09:27:08,7.050s,PASSED
"aribakeywords.aribaClick(findTestObject(""Object Repository/form_BackAlert ()CustomizeAnal""))",Chrome 63.0.3239.132,,2020-03-16 09:27:08,2020-03-16 09:27:19,11.792s,PASSED
aribakeywords.waitForPageToLoad(3),Chrome 63.0.3239.132,,2020-03-16 09:27:19,2020-03-16 09:27:21,1.838s,PASSED
driver = getWebDriver(),Chrome 63.0.3239.132,,2020-03-16 09:27:21,2020-03-16 09:27:21,0.000s,PASSED
lotSize = xpath(APCLOT_LOT)).size(),Chrome 63.0.3239.132,,2020-03-16 09:27:21,2020-03-16 09:27:22,0.442s,PASSED
"verifyMatch(lotSize.toString(), ""1"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:27:22,2020-03-16 09:27:22,0.002s,PASSED
childItem = xpath(APCLOT_CHILDITEM_LOC)).size(),Chrome 63.0.3239.132,,2020-03-16 09:27:22,2020-03-16 09:27:22,0.437s,PASSED
"verifyMatch(childItem.toString(), ""1"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:27:22,2020-03-16 09:27:22,0.002s,PASSED
"verifyTextPresent(""View pricing conditions"", false, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:27:22,2020-03-16 09:27:24,1.820s,PASSED
apcLink = aribakeywords.createTestObject(APCLINK_LOC),Chrome 63.0.3239.132,,2020-03-16 09:27:24,2020-03-16 09:27:24,0.001s,PASSED
"verifyElementPresent(apcLink, 3, STOP_ON_FAILURE)",Chrome 63.0.3239.132,,2020-03-16 09:27:24,2020-03-16 09:27:33,8.668s,FAILED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-2922_AppendContractFromEventContentHavingAPCLot,Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.225s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.002s,PASSED
,,,,,,
Test Cases/DMS/PricingConditionSupportForLots - Copy/DMSTC-2915_CreateEventHavingBasketLotWithAPCTerms,Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:30:34,3m - 1.063s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.001s,PASSED
"APCRULE_LOC = ""//label[@awname='AllowAdvancedPricingConditions_selectedItem::AdvancedPricingConditionRuleView_AllowAdvancedPricingConditions:currChoice']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"VALIDITYPERIOD_LOC = ""//div[@awname='AdvancedPricingConditionRule.ValidityPeriodType::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodType:itemList']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"STARTDATE_LOC = ""//input[@awname='AdvancedPricingConditionRule.ValidityPeriodStartDate::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodStartDate:textFieldAction_1']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"PERIOD_LOC = ""//input[@awname='AdvancedPricingConditionRule.ValidityPeriodDuration::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.ValidityPeriodDuration:fieldValue']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"SCALETYPE_LOC = ""//div[@awname='AdvancedPricingConditionRule.VolumeScaleType::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.VolumeScaleType:itemList']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"SCALE_LOC = ""//input[@awname='AdvancedPricingConditionRule.Volumes::AdvancedPricingConditionRuleView_AdvancedPricingConditionRule.Volumes:newEntry']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
"APCLOT_LOC = ""//tr[@awname='0.4::AWRefreshRegion']//a//b[text()='Basket Lot']""",Chrome 63.0.3239.132,,2020-03-16 09:27:33,2020-03-16 09:27:33,0.000s,PASSED
